ID;Nombre de la Técnica;Categoría;Estado Inicial (Notación);Descripción Estado Inicial;Estado Final Exitoso (Notación);Descripción Estado Exitoso;Estado Final Fallido (Notación);Descripción Estado Fallido
T11;Americana desde Montada;Sumision;Pos(A:Montada_Superior, O:Montada_Inferior);Actor (A): Arriba en la montada, aislando un brazo de O. Oponente (O): Abajo, defendiendo sus brazos.;Estado(Sumision:Americana);Actor (A): Ha aplicado la llave de hombro y gana el combate. Oponente (O): Es sometido.;Pos(A:Montada_Superior, O:Montada_Inferior) | ModL(O.Brazo:Defendido);Actor (A): No pudo completar la llave. Oponente (O): Ha defendido su brazo con éxito, pero sigue en la montada.
T12;Estrangulamiento Cruzado;Sumision;Pos(A:Montada_Superior, O:Montada_Inferior) | Grip(A:Control_Solapas);Actor (A): Arriba en la montada, con agarres en el cuello de O. Oponente (O): Abajo, defendiendo su cuello.;Estado(Sumision:Estrangulamiento_Cruzado);Actor (A): Ha finalizado la estrangulación y gana el combate. Oponente (O): Es sometido.;Pos(A:Montada_Superior, O:Montada_Inferior) | Grip(O:Defensa_Brazos);Actor (A): Sus agarres fueron bloqueados. Oponente (O): Ha defendido con éxito, pero sigue en la montada.
T13;Palanca de Brazo desde Montada;Sumision;Pos(A:Montada_Superior, O:Montada_Inferior) | ModP(O:Empujando_Pecho);Actor (A): Arriba en la montada. Oponente (O): Abajo, empujando el pecho de A con los brazos extendidos.;Estado(Sumision:Palanca_de_Brazo);Actor (A): Ha aprovechado los brazos extendidos para aplicar la palanca y ganar. Oponente (O): Es sometido.;Pos(A:Guardia_Cerrada_Inferior, O:Guardia_Cerrada_Superior);Actor (A): Perdió la posición durante el ataque. Oponente (O): Ha usado el movimiento de A para escapar (Upa) y revertir la posición.
T14;Kimura desde Control Lateral;Sumision;Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior);Actor (A): Arriba en control lateral, aislando el brazo cercano de O. Oponente (O): Abajo, con un brazo atrapado en un agarre Kimura.;Estado(Sumision:Kimura);Actor (A): Ha aplicado la llave de hombro y gana el combate. Oponente (O): Es sometido.;Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior);Actor (A): Perdió el control de la llave. Oponente (O): Ha usado la defensa para crear espacio y recuperar su guardia.
T15;Estrangulamiento D'Arce;Sumision;Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior) | ModL(O.Brazo:Underhook);Actor (A): Arriba en control lateral. Oponente (O): Abajo, ha conseguido un underhook, exponiendo su cuello.;Estado(Sumision:D_Arce);Actor (A): Ha encajado la estrangulación y gana el combate. Oponente (O): Es sometido.;Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior) | ModP(O:Aplanado);Actor (A): No pudo cerrar el estrangulamiento. Oponente (O): Se ha aplanado, eliminando el espacio necesario para la Sumision.
T16;Mata León (Rear Naked Choke);Sumision;Pos(A:Espalda_Control, O:Espalda_Controlado);Actor (A): Detrás de O, con control total (ganchos y cinturón de seguridad). Oponente (O): En la peor posición, defendiendo el cuello.;Estado(Sumision:Mata_León);Actor (A): Ha finalizado la estrangulación y gana el combate. Oponente (O): Es sometido.;Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior);Actor (A): Perdió el control de la espalda. Oponente (O): Ha logrado girar y enfrentar a A, recuperando la guardia.
T17;Escape de Upa (Puente y Giro);Escape;Pos(A:Montada_Inferior, O:Montada_Superior);Actor (A): Abajo en la montada, buscando escapar. Oponente (O): Arriba, intentando mantener la posición.;Pos(A:Media_Guardia_Inferior, O:Media_Guardia_Superior);Actor (A): Ha desequilibrado a O y escapado a media guardia. Oponente (O): Ha perdido la montada.;Pos(A:Montada_Inferior, O:Montada_Superior);Actor (A): Su intento de puente falló. Oponente (O): Mantuvo la montada, y A gastó energía.
T18;Fuga de Cadera (Shrimping);Escape;Pos(A:Control_Lateral_Inferior, O:Control_Lateral_Inferior);Actor (A): Abajo en control lateral, creando espacio. Oponente (O): Arriba, intentando mantener la presión.;Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior);Actor (A): Ha creado suficiente espacio para recuperar su guardia. Oponente (O): Ha perdido el control lateral.;Pos(A:Control_Lateral_Inferior, O:Control_Lateral_Superior);Actor (A): No pudo crear espacio. Oponente (O): Mantuvo la presión y el control lateral.
T19;Recuperación de Guardia (Reguard);Escape;Pos(A:Control_Lateral_Inferior, O:Control_Lateral_Superior);Actor (A): Abajo en control lateral, usando marcos para crear espacio. Oponente (O): Arriba, aplicando presión.;Pos(A:Guardia_Cerrada_Inferior, O:Guardia_Cerrada_Superior);Actor (A): Ha recuperado exitosamente la guardia cerrada. Oponente (O): Ha perdido la posición dominante.;Pos(A:Norte_Sur_Inferior, O:Norte_Sur_Superior);Actor (A): Creó espacio pero O lo usó para avanzar. Oponente (O): Ha transicionado a la posición Norte-Sur.
T20;Escape de la Espalda;Escape;Pos(A:Espalda_Controlado, O:Espalda_Control);Actor (A): Siendo controlado por la espalda, defendiendo el cuello. Oponente (O): Detrás de A, buscando la Sumision.;Pos(A:Guardia_de_Tortuga, O:Control_Tortuga);Actor (A): Ha escapado del control inmediato y está en posición de tortuga. Oponente (O): Ha perdido los ganchos pero sigue en una posición ofensiva.;Pos(A:Espalda_Controlado, O:Espalda_Control);Actor (A): Su intento de escape fue bloqueado. Oponente (O): Ha reajustado y mantenido el control de la espalda.
T21;Transición a Rodilla al Abdomen;Transicion;Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior);Actor (A): Arriba en control lateral. Oponente (O): Abajo, defendiéndose.;Pos(A:Rodilla_Abdomen_Superior, O:Rodilla_Abdomen_Inferior);Actor (A): Ha mejorado su posición a rodilla al abdomen. Oponente (O): Está bajo una presión intensa.;Pos(A:Media_Guardia_Superior, O:Media_Guardia_Inferior);Actor (A): Creó espacio al levantarse. Oponente (O): Ha aprovechado el espacio para atrapar una pierna y establecer media guardia.
T22;Transición a la Montada;Transicion;Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior);Actor (A): Arriba en control lateral. Oponente (O): Abajo, intentando bloquear la transición.;Pos(A:Montada_Superior, O:Montada_Inferior);Actor (A): Ha llegado a la montada, una de las mejores posiciones. Oponente (O): Ahora está en una de las peores posiciones.;Pos(A:Media_Guardia_Superior, O:Media_Guardia_Inferior);Actor (A): Su pierna fue atrapada a mitad de camino. Oponente (O): Ha logrado establecer media guardia.
T23;Toma de Espalda desde Tortuga;Transicion;Pos(A:Control_Tortuga, O:Guardia_de_Tortuga);Actor (A): Controlando a O en posición de tortuga. Oponente (O): En tortuga, defendiéndose.;Pos(A:Espalda_Control, O:Espalda_Controlado);Actor (A): Ha tomado la espalda de O, la posición más dominante. Oponente (O): Está en la peor posición posible.;Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior);Actor (A): Perdió la oportunidad. Oponente (O): Ha logrado girar y recuperar su guardia.
T24;Romper Postura en Guardia;Transicion;Pos(A:Guardia_Cerrada_Inferior, O:Guardia_Cerrada_Superior) | ModP(O:Erguido);Actor (A): Abajo en guardia cerrada. Oponente (O): Arriba, con buena postura.;Pos(A:Guardia_Cerrada_Inferior, O:Guardia_Cerrada_Superior) | ModP(O:Roto);Actor (A): Ha roto la postura de O, abriendo oportunidades de ataque. Oponente (O): Está a la defensiva y vulnerable.;Pos(A:Guardia_Cerrada_Inferior, O:Guardia_Cerrada_Superior) | ModP(O:Erguido);Actor (A): No pudo romper la estructura. Oponente (O): Mantiene su buena postura y puede intentar abrir la guardia.
T25;Ponerse de Pie en la Guardia;Transicion;Pos(A:Guardia_Cerrada_Superior, O:Guardia_Cerrada_Inferior);Actor (A): Arriba, atrapado en la guardia cerrada. Oponente (O): Abajo, controlando.;Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior);Actor (A): Se ha puesto de pie y ha abierto la guardia. Oponente (O): Ha perdido el control de la guardia cerrada.;Pos(A:Guardia_Cerrada_Superior, O:Guardia_Cerrada_Inferior) | ModP(A:Roto);Actor (A): Su intento de levantarse fue frustrado. Oponente (O): Ha roto la postura de A, poniéndolo en peligro.
T26;Raspado de Gancho (Butterfly);Raspado;Pos(A:Guardia_Mariposa_Inferior, O:Guardia_Mariposa_Superior);Actor (A): Abajo, sentado con ganchos de mariposa. Oponente (O): Arriba, intentando pasar.;Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior);Actor (A): Ha levantado y barrido a O, aterrizando en control lateral. Oponente (O): Ha sido revertido.;Pos(A:Guardia_Aplanada_Inferior, O:Guardia_Aplanada_Superior);Actor (A): No pudo levantar y fue aplastado. Oponente (O): Ha neutralizado los ganchos y está en posición de pasar.
T27;Raspado de De La Riva;Raspado;Pos(A:Guardia_DLR_Inferior, O:Guardia_DLR_Superior);Actor (A): Abajo, con un gancho De La Riva. Oponente (O): Arriba, defendiendo el desequilibrio.;Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior);Actor (A): Ha desequilibrado y barrido a O. Oponente (O): Ha sido revertido.;Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior);Actor (A): Perdió el gancho De La Riva. Oponente (O): Ha neutralizado el ataque y ahora busca pasar.
T28;Llave de Talón (Heel Hook);Sumision;Pos(A:Ashi_Garami_Inferior, O:Ashi_Garami_Superior);Actor (A): Abajo, con las piernas de O enredadas. Oponente (O): Arriba, con una pierna en peligro.;Estado(Sumision:Llave_de_Talón);Actor (A): Ha aplicado la llave de rodilla y gana el combate. Oponente (O): Es sometido.;Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior);Actor (A): Perdió el control del pie. Oponente (O): Ha escapado del enredo de piernas y ahora está en posición de pasar.
T29;Pasaje de Doble Esgrima;Pase de Guardia;Pos(A:Guardia_Mariposa_Superior, O:Guardia_Mariposa_Inferior);Actor (A): Arriba, enfrentando la guardia de mariposa. Oponente (O): Abajo, sentado con ganchos.;Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior);Actor (A): Ha controlado los brazos de O y lo ha aplanado para pasar. Oponente (O): Ha perdido su estructura y su guardia.;Pos(A:Guardia_Mariposa_Superior, O:Guardia_Mariposa_Inferior);Actor (A): No pudo aplanar a O. Oponente (O): Mantuvo sus ganchos activos, frustrando el pasaje.
T30;Estrangulamiento de Arco y Flecha;Sumision;Pos(A:Espalda_Control, O:Espalda_Controlado);Actor (A): Detrás de O, con control de la espalda. Oponente (O): Defendiendo el cuello.;Estado(Sumision:Arco_y_Flecha);Actor (A): Ha usado la solapa y su pierna para una estrangulación poderosa y gana. Oponente (O): Es sometido.;Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior);Actor (A): Perdió el agarre durante el ataque. Oponente (O): Ha logrado girar y escapar a una posición de fondo de control lateral.
T31;Llamada a la Guardia (Guard Pull);Derribo;Pos(A:De_Pie, O:De_Pie);Actor (A): De pie, decide llevar la lucha al suelo. Oponente (O): De pie, es forzado a jugar en el suelo.;Pos(A:Guardia_Cerrada_Inferior, O:Guardia_Cerrada_Superior);Actor (A): Ha establecido su guardia cerrada con éxito. Oponente (O): Ahora está atrapado en la guardia de A.;Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior) | ModP(A:Desestructurado);Actor (A): Ejecutó mal el movimiento y no aseguró el control. Oponente (O): Tiene una oportunidad inmediata para pasar la guardia.
T32;Derribo a una Pierna;Derribo;Pos(A:De_Pie, O:De_Pie);Actor (A): De pie, ataca una pierna de O. Oponente (O): De pie, defendiendo la pierna atacada.;Pos(A:Media_Guardia_Superior, O:Media_Guardia_Inferior);Actor (A): Ha completado el derribo, pero O atrapó una pierna. Oponente (O): Ha sido derribado pero ha establecido media guardia.;Pos(A:De_Pie, O:De_Pie) | Grip(A:Roto);Actor (A): Perdió el agarre de la pierna. Oponente (O): Ha defendido con éxito y creado distancia.
T33;Pasaje de Arrastre de Pierna;Pase de Guardia;Pos(A:Guardia_DLR_Superior, O:Guardia_DLR_Inferior);Actor (A): Arriba, enfrentando la guardia De La Riva. Oponente (O): Abajo, con un gancho activo.;Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior);Actor (A): Ha arrastrado la pierna de O y pasado la guardia. Oponente (O): Ha perdido su gancho y su guardia.;Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior);Actor (A): Perdió el agarre de la pierna. Oponente (O): Ha liberado su pierna y recompuesto una guardia abierta.
T34;Raspado de Péndulo;Raspado;Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior);Actor (A): Abajo en guardia abierta, con control de un brazo. Oponente (O): Arriba, intentando liberar su brazo.;Pos(A:Montada_Superior, O:Montada_Inferior);Actor (A): Ha usado un movimiento de péndulo para barrer a O y llegar a la montada. Oponente (O): Ha sido revertido.;Pos(A:Control_Lateral_Inferior, O:Control_Lateral_Superior);Actor (A): Perdió el control del brazo y fue pasado. Oponente (O): Ha aprovechado la apertura para pasar la guardia.
T35;Inversión desde Media Guardia;Raspado;Pos(A:Media_Guardia_Profunda_Inferior, O:Media_Guardia_Profunda_Superior);"Actor (A): Abajo, en media guardia profunda, buscando salir por la ""puerta de atrás"". Oponente (O): Arriba, intentando mantener el control.";Pos(A:Media_Guardia_Superior, O:Media_Guardia_Inferior);Actor (A): Ha invertido la posición y ahora está arriba. Oponente (O): Ha sido barrido y ahora está abajo en media guardia.;Pos(A:Control_Lateral_Inferior, O:Control_Lateral_Superior);Actor (A): Su intento fue bloqueado y fue aplastado. Oponente (O): Ha pasado la guardia a control lateral.
T36;Defensa de Palanca de Brazo;Escape;Pos(A:Siendo_Atacado_Armbar, O:Atacando_Armbar);Actor (A): Su brazo está siendo atacado. Oponente (O): Está aplicando una palanca de brazo.;Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior);Actor (A): Ha defendido y liberado su brazo, y ha pasado la guardia. Oponente (O): Ha perdido la Sumision y su posición.;Estado(Sumision:Palanca_de_Brazo);Actor (A): No pudo defender a tiempo. Oponente (O): Ha finalizado la Sumision y gana.
T37;Escape de Rodilla al Abdomen;Escape;Pos(A:Rodilla_Abdomen_Inferior, O:Rodilla_Abdomen_Superior);Actor (A): Abajo, bajo la presión de la rodilla de O. Oponente (O): Arriba, aplicando presión.;Pos(A:Media_Guardia_Inferior, O:Media_Guardia_Superior);Actor (A): Ha neutralizado la presión y atrapado la pierna de O en media guardia. Oponente (O): Ha perdido la posición.;Pos(A:Rodilla_Abdomen_Inferior, O:Rodilla_Abdomen_Superior);Actor (A): No pudo aliviar la presión. Oponente (O): Mantiene la posición dominante.
T38;Ponerse de Pie desde Tortuga;Escape;Pos(A:Guardia_de_Tortuga, O:Control_Tortuga);Actor (A): En tortuga, defendiéndose. Oponente (O): Controlando a A, buscando la espalda.;Pos(A:De_Pie, O:De_Pie);Actor (A): Ha logrado levantarse y volver a la lucha de pie. Oponente (O): Ha perdido la oportunidad de atacar en el suelo.;Pos(A:Espalda_Controlado, O:Espalda_Control);Actor (A): Su intento de levantarse fue bloqueado. Oponente (O): Ha aprovechado para tomar la espalda.
T39;Rodar hacia la Guardia (desde Tortuga);Escape;Pos(A:Guardia_de_Tortuga, O:Control_Tortuga);Actor (A): En tortuga, buscando una opción segura. Oponente (O): Controlando a A.;Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior);Actor (A): Ha rodado a su espalda para enfrentar a O con su guardia. Oponente (O): Ahora debe pasar la guardia.;Pos(A:Control_Lateral_Inferior, O:Control_Lateral_Superior);Actor (A): Fue atrapado a mitad del giro. Oponente (O): Ha establecido un control lateral firme.
T40;Escape de Piernas (Leg Pummeling);Escape;Pos(A:Ashi_Garami_Inferior, O:Ashi_Garami_Superior);Actor (A): Con sus piernas enredadas y en peligro. Oponente (O): Atacando las piernas de A.;Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior);Actor (A): Ha liberado sus piernas y ahora está en posición de pasar. Oponente (O): Ha perdido el control de las piernas.;Pos(A:Ashi_Garami_Inferior, O:Ashi_Garami_Superior);Actor (A): No pudo liberar sus piernas. Oponente (O): Mantiene el enredo y la amenaza de Sumision.
T41;Transición a Norte-Sur;Transicion;Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior);Actor (A): Arriba en control lateral. Oponente (O): Abajo, defendiéndose.;Pos(A:Norte_Sur_Superior, O:Norte_Sur_Inferior);Actor (A): Ha avanzado a la posición Norte-Sur. Oponente (O): Sigue en una posición defensiva.;Pos(A:Guardia_de_Tortuga, O:Control_Tortuga);Actor (A): Perdió el control durante la transición. Oponente (O): Ha aprovechado para ponerse en tortuga.
T42;Transición a S-Mount;Transicion;Pos(A:Montada_Superior, O:Montada_Inferior);Actor (A): Arriba en la montada. Oponente (O): Abajo, defendiendo.;Pos(A:S-Mount_Superior, O:S-Mount_Inferior);Actor (A): Ha establecido la S-Mount, preparando una palanca de brazo. Oponente (O): Su brazo está en peligro inminente.;Pos(A:Montada_Superior, O:Montada_Inferior);Actor (A): No pudo aislar el brazo. Oponente (O): Ha defendido y A vuelve a una montada estándar.
T43;Toma de Espalda desde Montada;Transicion;Pos(A:Montada_Superior, O:Montada_Inferior);Actor (A): Arriba en la montada. Oponente (O): Abajo, gira boca abajo para protegerse.;Pos(A:Espalda_Control, O:Espalda_Controlado);Actor (A): Ha aprovechado el giro para tomar la espalda. Oponente (O): Ha empeorado su situación.;Pos(A:Media_Guardia_Inferior, O:Media_Guardia_Superior);Actor (A): No pudo asegurar los ganchos. Oponente (O): Logró girar y recuperar media guardia.
T44;Forzar Media Guardia;Transicion;Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior);Actor (A): Arriba, lidiando con una guardia abierta activa. Oponente (O): Abajo, usando sus piernas.;Pos(A:Media_Guardia_Superior, O:Media_Guardia_Inferior);Actor (A): Ha atrapado una pierna de O para simplificar el pasaje. Oponente (O): Ha perdido su guardia abierta.;Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior);Actor (A): No pudo asegurar la pierna. Oponente (O): Mantuvo su guardia abierta.
T45;Establecer Guardia De La Riva;Transicion;Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior);Actor (A): Abajo en guardia abierta. Oponente (O): Arriba, de pie.;Pos(A:Guardia_DLR_Inferior, O:Guardia_DLR_Superior);Actor (A): Ha establecido su gancho De La Riva. Oponente (O): Ahora debe lidiar con el desequilibrio.;Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior);Actor (A): No pudo establecer el control. Oponente (O): Evitó el gancho y mantiene la posición.
T46;Establecer Guardia de Mariposa;Transicion;Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior);Actor (A): Abajo, buscando sentarse. Oponente (O): Arriba, cerca.;Pos(A:Guardia_Mariposa_Inferior, O:Guardia_Mariposa_Superior);Actor (A): Ha establecido sus ganchos de mariposa. Oponente (O): Ahora está en peligro de ser levantado.;Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior);Actor (A): No pudo establecer sus ganchos. Oponente (O): Mantuvo a A de espaldas.
T47;Estrangulamiento Norte-Sur;Sumision;Pos(A:Norte_Sur_Superior, O:Norte_Sur_Inferior);Actor (A): Arriba en posición Norte-Sur. Oponente (O): Abajo, controlado.;Estado(Sumision:Norte_Sur);Actor (A): Ha aplicado la estrangulación y gana. Oponente (O): Es sometido.;Pos(A:Norte_Sur_Superior, O:Norte_Sur_Inferior);Actor (A): Perdió la presión necesaria. Oponente (O): Creó espacio para respirar, pero sigue en mala posición.
T48;Pasaje por Encima (Over-Under);Pase de Guardia;Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior);Actor (A): Arriba, muy cerca de O. Oponente (O): Abajo, en guardia abierta.;Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior);Actor (A): Ha usado presión para aplastar las piernas de O y pasar. Oponente (O): Ha sido inmovilizado.;Pos(A:Guardia_Cerrada_Superior, O:Guardia_Cerrada_Inferior);Actor (A): Se acercó demasiado. Oponente (O): Ha aprovechado para cerrar su guardia.
T49;Pasaje de Aplastamiento (Smash);Pase de Guardia;Pos(A:Media_Guardia_Superior, O:Media_Guardia_Inferior);Actor (A): Arriba en media guardia. Oponente (O): Abajo, defendiendo.;Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior);Actor (A): Ha usado presión de hombro para liberar su pierna y pasar. Oponente (O): Ha sido aplanado y su guardia pasada.;Pos(A:Media_Guardia_Superior, O:Media_Guardia_Profunda_Inferior);Actor (A): Su presión fue redirigida. Oponente (O): Ha usado el ángulo para conseguir una media guardia profunda ofensiva.
T50;Recomponer Postura;Transicion;Pos(A:Guardia_Cerrada_Superior, O:Guardia_Cerrada_Inferior) | ModP(A:Roto);Actor (A): Arriba en guardia cerrada, con la postura rota. Oponente (O): Abajo, controlando la postura de A.;Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior);Actor (A): Ha recuperado su postura y abierto la guardia. Oponente (O): Ha perdido el control postural.;Pos(A:Guardia_Cerrada_Superior, O:Guardia_Cerrada_Inferior) | ModP(A:Roto);Actor (A): No pudo recuperar su postura. Oponente (O): Ha mantenido o mejorado su control.
